t,dt,o,h,l,c,v
1788354000,2026-09-02 13:00:00,4331.45,4341.7,4330.85,4338.64,4646.0
1788354300,2026-09-02 13:05:00,4338.62,4344.22,4338.4,4341.95,3686.0
1788354600,2026-09-02 13:10:00,4341.95,4344.51,4337.61,4339.53,2944.0
1788354900,2026-09-02 13:15:00,4339.56,4344.38,4336.66,4342.39,2934.0
1788355200,2026-09-02 13:20:00,4342.42,4348.28,4342.04,4348.03,3384.0
1788355500,2026-09-02 13:25:00,4348.04,4358.59,4347.53,4358.43,5425.0
1788355800,2026-09-02 13:30:00,4358.31,4365.59,4357.03,4364.77,2521.0
1788356100,2026-09-02 13:35:00,4364.77,4367.78,4362.47,4363.98,3853.0
1788356400,2026-09-02 13:40:00,4366.8,4375.83,4366.79,4374.19,3636.0
1788356700,2026-09-02 13:45:00,4374.14,4379.55,4368.31,4368.59,3149.0
1788357000,2026-09-02 13:50:00,4368.55,4378.25,4367.81,4377.0,3940.0
1788357300,2026-09-02 13:55:00,4376.99,4385.64,4374.51,4385.34,3170.0
1788357600,2026-09-02 14:00:00,4385.42,4385.69,4378.93,4382.54,3553.0
1788357900,2026-09-02 14:05:00,4388.93,4394.17,4386.63,4392.91,3734.0
1788358200,2026-09-02 14:10:00,4392.9,4397.69,4389.76,4393.62,4096.0
1788358500,2026-09-02 14:15:00,4388.51,4392.7,4384.98,4392.23,5654.0
1788358800,2026-09-02 14:20:00,4392.2,4397.32,4386.84,4387.24,5555.0
1788359100,2026-09-02 14:25:00,4387.26,4390.39,4385.43,4387.62,4913.0
1788359400,2026-09-02 14:30:00,4387.63,4388.22,4382.92,4386.52,5237.0
1788359700,2026-09-02 14:35:00,4386.51,4387.71,4382.31,4382.77,4683.0
1788360000,2026-09-02 14:40:00,4382.78,4386.08,4381.37,4385.54,4564.0
1788360300,2026-09-02 14:45:00,4385.53,4386.91,4378.89,4381.0,4291.0
1788360600,2026-09-02 14:50:00,4381.01,4382.44,4376.03,4376.95,4284.0
1788360900,2026-09-02 14:55:00,4376.93,4378.53,4374.34,4376.97,3590.0
1788361200,2026-09-02 15:00:00,4376.96,4380.84,4374.14,4377.68,4595.0
1788361500,2026-09-02 15:05:00,4377.73,4380.64,4373.76,4376.49,4301.0
1788361800,2026-09-02 15:10:00,4376.52,4378.18,4372.62,4372.84,4435.0
1788362100,2026-09-02 15:15:00,4372.83,4372.83,4368.9,4369.9,3755.0
1788362400,2026-09-02 15:20:00,4369.94,4371.59,4365.61,4370.11,3878.0
1788362700,2026-09-02 15:25:00,4370.1,4373.04,4367.37,4372.68,3893.0
1788363000,2026-09-02 15:30:00,4372.67,4375.22,4371.08,4371.33,3813.0
1788363300,2026-09-02 15:35:00,4371.32,4372.61,4367.48,4370.44,3506.0
1788363600,2026-09-02 15:40:00,4370.42,4372.21,4366.05,4366.27,3196.0
1788363900,2026-09-02 15:45:00,4366.26,4369.65,4364.61,4367.87,3129.0
1788364200,2026-09-02 15:50:00,4367.84,4369.74,4367.28,4368.65,2936.0
1788364500,2026-09-02 15:55:00,4368.66,4373.94,4367.99,4373.11,2905.0
1788364800,2026-09-02 16:00:00,4373.01,4374.82,4371.36,4373.03,3082.0
1788365100,2026-09-02 16:05:00,4373.0,4373.29,4368.87,4370.49,2948.0
1788365400,2026-09-02 16:10:00,4370.5,4373.22,4370.28,4372.42,2460.0
1788365700,2026-09-02 16:15:00,4372.41,4372.45,4367.91,4369.94,2666.0
1788366000,2026-09-02 16:20:00,4369.95,4370.95,4368.69,4369.55,2356.0
1788366300,2026-09-02 16:25:00,4369.48,4370.23,4367.68,4368.69,2398.0
1788366600,2026-09-02 16:30:00,4368.67,4370.53,4367.26,4367.28,2845.0
1788366900,2026-09-02 16:35:00,4367.31,4368.98,4366.2,4368.59,2551.0
1788367200,2026-09-02 16:40:00,4368.56,4368.59,4364.49,4364.92,2190.0
1788367500,2026-09-02 16:45:00,4364.92,4366.68,4364.6,4365.99,2062.0
1788367800,2026-09-02 16:50:00,4366.01,4370.72,4364.74,4369.96,2447.0
1788368100,2026-09-02 16:55:00,4369.95,4370.36,4367.91,4368.29,1991.0
1788368400,2026-09-02 17:00:00,4368.28,4370.74,4367.85,4370.74,2110.0
1788368700,2026-09-02 17:05:00,4370.73,4371.11,4368.92,4370.03,2117.0
1788369000,2026-09-02 17:10:00,4370.01,4370.55,4367.59,4368.87,1998.0
1788369300,2026-09-02 17:15:00,4368.89,4369.06,4364.59,4365.37,2040.0
1788369600,2026-09-02 17:20:00,4365.35,4367.42,4364.65,4367.13,2002.0
1788369900,2026-09-02 17:25:00,4367.08,4369.92,4366.94,4369.89,2381.0
1788370200,2026-09-02 17:30:00,4369.91,4371.58,4368.08,4368.08,2092.0
1788370500,2026-09-02 17:35:00,4368.08,4369.52,4366.56,4366.61,1690.0
1788370800,2026-09-02 17:40:00,4366.6,4377.72,4366.56,4376.54,3067.0
1788371100,2026-09-02 17:45:00,4376.52,4380.73,4375.46,4376.0,3655.0
1788371400,2026-09-02 17:50:00,4376.03,4377.53,4375.39,4376.21,1974.0
1788371700,2026-09-02 17:55:00,4376.14,4378.45,4375.77,4376.94,1598.0
1788372000,2026-09-02 18:00:00,4376.95,4377.57,4372.16,4375.02,2568.0
1788372300,2026-09-02 18:05:00,4375.01,4375.7,4373.3,4373.6,2214.0
1788372600,2026-09-02 18:10:00,4373.58,4374.03,4370.19,4370.27,1885.0
1788372900,2026-09-02 18:15:00,4370.25,4379.48,4369.31,4376.44,2440.0
1788373200,2026-09-02 18:20:00,4376.47,4379.78,4372.26,4373.22,3932.0
1788373500,2026-09-02 18:25:00,4373.23,4373.86,4371.85,4373.1,2254.0
1788373800,2026-09-02 18:30:00,4373.07,4378.14,4372.81,4376.59,2158.0
1788374100,2026-09-02 18:35:00,4376.6,4378.01,4375.31,4376.24,1979.0
1788374400,2026-09-02 18:40:00,4376.25,4376.62,4372.51,4373.03,1824.0
1788374700,2026-09-02 18:45:00,4372.98,4374.66,4372.57,4373.99,2063.0
1788375000,2026-09-02 18:50:00,4373.99,4375.85,4373.73,4374.71,1956.0
1788375300,2026-09-02 18:55:00,4374.71,4375.34,4372.6,4374.11,1841.0
1788375600,2026-09-02 19:00:00,4374.1,4375.18,4371.76,4375.03,2350.0
1788375900,2026-09-02 19:05:00,4375.01,4377.39,4374.79,4377.07,2156.0
1788376200,2026-09-02 19:10:00,4377.07,4380.32,4376.46,4379.18,1940.0
1788376500,2026-09-02 19:15:00,4379.19,4380.23,4378.23,4379.57,2136.0
1788376800,2026-09-02 19:20:00,4379.58,4381.04,4378.41,4379.94,2111.0
1788377100,2026-09-02 19:25:00,4379.95,4383.11,4379.83,4381.1,2204.0
1788377400,2026-09-02 19:30:00,4381.11,4384.1,4381.11,4383.82,2458.0
1788377700,2026-09-02 19:35:00,4383.83,4384.15,4381.26,4384.06,2183.0
1788378000,2026-09-02 19:40:00,4384.03,4388.68,4383.51,4388.0,2343.0
1788378300,2026-09-02 19:45:00,4388.01,4388.87,4384.99,4386.59,2217.0
1788378600,2026-09-02 19:50:00,4386.61,4389.76,4385.86,4387.38,2659.0
1788378900,2026-09-02 19:55:00,4387.37,4391.25,4386.14,4391.18,3163.0
1788379200,2026-09-02 20:00:00,4391.23,4391.5,4388.73,4390.47,2087.0
1788379500,2026-09-02 20:05:00,4390.47,4391.05,4387.59,4387.86,1325.0
1788379800,2026-09-02 20:10:00,4387.87,4388.63,4385.94,4385.99,1392.0
1788380100,2026-09-02 20:15:00,4386.05,4386.29,4384.11,4385.1,2106.0
1788380400,2026-09-02 20:20:00,4385.09,4385.77,4384.61,4385.53,1092.0
1788380700,2026-09-02 20:25:00,4385.55,4387.79,4385.22,4386.39,1015.0
1788381000,2026-09-02 20:30:00,4386.39,4387.87,4385.75,4387.45,894.0
1788381300,2026-09-02 20:35:00,4387.43,4387.75,4386.85,4387.5,921.0
1788381600,2026-09-02 20:40:00,4387.53,4389.78,4387.31,4387.9,868.0
1788381900,2026-09-02 20:45:00,4387.83,4389.57,4387.3,4388.99,600.0
1788382200,2026-09-02 20:50:00,4388.98,4390.62,4388.94,4389.15,608.0
1788382500,2026-09-02 20:55:00,4389.1,4389.18,4387.07,4387.07,877.0
1788386400,2026-09-02 22:00:00,4390.0,4393.26,4389.81,4391.4,888.0
1788386700,2026-09-02 22:05:00,4391.3,4391.82,4390.27,4390.57,526.0
1788387000,2026-09-02 22:10:00,4390.56,4391.44,4389.93,4389.99,482.0
1788387300,2026-09-02 22:15:00,4389.98,4390.15,4387.99,4388.53,632.0
1788387600,2026-09-02 22:20:00,4388.61,4389.59,4388.24,4389.59,738.0
1788387900,2026-09-02 22:25:00,4389.63,4390.91,4389.1,4389.83,653.0
1788388200,2026-09-02 22:30:00,4389.81,4389.84,4387.83,4388.24,657.0
1788388500,2026-09-02 22:35:00,4388.26,4388.56,4387.28,4387.63,566.0
1788388800,2026-09-02 22:40:00,4387.64,4387.99,4384.96,4385.14,585.0
1788389100,2026-09-02 22:45:00,4385.15,4385.32,4383.59,4384.09,704.0
1788389400,2026-09-02 22:50:00,4384.13,4385.17,4383.82,4384.51,402.0
1788389700,2026-09-02 22:55:00,4384.54,4385.0,4384.44,4384.69,349.0
