t,o,h,l,c,v,datetime_utc
1788429600,4427.56,4428.46,4427.02,4427.16,516.0,2026-09-03 10:00:00
1788429660,4427.16,4427.84,4426.78,4427.1,498.0,2026-09-03 10:01:00
1788429720,4427.11,4427.39,4425.53,4426.57,446.0,2026-09-03 10:02:00
1788429780,4426.55,4427.41,4425.77,4427.09,443.0,2026-09-03 10:03:00
1788429840,4427.09,4427.74,4426.91,4427.38,378.0,2026-09-03 10:04:00
1788429900,4427.39,4428.54,4427.33,4428.41,418.0,2026-09-03 10:05:00
1788429960,4428.42,4429.74,4428.2,4429.36,413.0,2026-09-03 10:06:00
1788430020,4429.36,4429.94,4428.23,4428.46,393.0,2026-09-03 10:07:00
1788430080,4428.53,4428.54,4426.28,4426.62,393.0,2026-09-03 10:08:00
1788430140,4426.65,4426.68,4425.26,4425.36,405.0,2026-09-03 10:09:00
1788430200,4425.31,4425.79,4424.06,4424.17,513.0,2026-09-03 10:10:00
1788430260,4424.18,4424.54,4423.38,4423.79,443.0,2026-09-03 10:11:00
1788430320,4423.79,4424.65,4423.42,4423.42,537.0,2026-09-03 10:12:00
1788430380,4423.4,4424.15,4423.17,4424.12,532.0,2026-09-03 10:13:00
1788430440,4424.13,4425.29,4423.66,4424.57,439.0,2026-09-03 10:14:00
1788430500,4424.56,4425.74,4424.05,4425.61,392.0,2026-09-03 10:15:00
1788430560,4425.63,4425.67,4423.5,4423.64,440.0,2026-09-03 10:16:00
1788430620,4423.64,4424.31,4423.27,4423.55,432.0,2026-09-03 10:17:00
1788430680,4423.51,4423.91,4422.8,4423.65,373.0,2026-09-03 10:18:00
1788430740,4423.66,4423.78,4421.87,4422.13,432.0,2026-09-03 10:19:00
1788430800,4422.13,4422.26,4420.83,4421.58,417.0,2026-09-03 10:20:00
1788430860,4421.56,4421.81,4421.03,4421.69,317.0,2026-09-03 10:21:00
1788430920,4421.68,4423.0,4421.61,4422.8,299.0,2026-09-03 10:22:00
1788430980,4422.8,4422.95,4421.22,4421.22,231.0,2026-09-03 10:23:00
1788431040,4421.22,4422.39,4418.85,4419.96,452.0,2026-09-03 10:24:00
1788431100,4419.96,4422.82,4419.96,4422.52,441.0,2026-09-03 10:25:00
1788431160,4422.54,4423.07,4421.88,4422.71,336.0,2026-09-03 10:26:00
1788431220,4422.73,4424.07,4421.98,4424.07,563.0,2026-09-03 10:27:00
1788431280,4424.06,4424.16,4421.95,4421.95,463.0,2026-09-03 10:28:00
1788431340,4421.94,4423.22,4421.38,4422.64,404.0,2026-09-03 10:29:00
1788431400,4422.65,4422.65,4421.08,4421.41,510.0,2026-09-03 10:30:00
1788431460,4421.42,4421.83,4420.24,4420.37,450.0,2026-09-03 10:31:00
1788431520,4420.36,4423.26,4420.1,4421.79,539.0,2026-09-03 10:32:00
1788431580,4421.78,4424.28,4421.46,4423.41,405.0,2026-09-03 10:33:00
1788431640,4423.42,4423.6,4422.32,4422.65,361.0,2026-09-03 10:34:00
1788431700,4422.65,4423.62,4422.08,4423.47,469.0,2026-09-03 10:35:00
1788431760,4423.48,4424.94,4423.13,4423.93,450.0,2026-09-03 10:36:00
1788431820,4423.92,4424.33,4422.66,4423.18,456.0,2026-09-03 10:37:00
1788431880,4423.19,4423.59,4422.33,4423.52,396.0,2026-09-03 10:38:00
1788431940,4423.53,4424.87,4423.18,4424.51,362.0,2026-09-03 10:39:00
1788432000,4424.52,4425.08,4424.19,4424.85,339.0,2026-09-03 10:40:00
1788432060,4424.86,4426.18,4424.57,4425.94,407.0,2026-09-03 10:41:00
1788432120,4425.88,4426.03,4425.09,4425.7,345.0,2026-09-03 10:42:00
1788432180,4425.7,4426.41,4425.43,4425.71,280.0,2026-09-03 10:43:00
1788432240,4425.69,4426.01,4425.03,4425.75,304.0,2026-09-03 10:44:00
1788432300,4425.75,4426.7,4425.52,4426.6,362.0,2026-09-03 10:45:00
1788432360,4426.6,4426.6,4425.63,4425.79,261.0,2026-09-03 10:46:00
1788432420,4425.81,4426.52,4425.51,4425.7,306.0,2026-09-03 10:47:00
