t,dt,o,h,l,c,v
1788354000,2026-09-02 13:00:00,4331.45,4337.56,4330.85,4336.12,1242.0
1788354060,2026-09-02 13:01:00,4336.15,4337.53,4335.37,4336.17,869.0
1788354120,2026-09-02 13:02:00,4336.19,4341.44,4336.1,4339.86,858.0
1788354180,2026-09-02 13:03:00,4339.86,4341.7,4337.96,4338.58,877.0
1788354240,2026-09-02 13:04:00,4338.61,4339.27,4337.53,4338.64,800.0
1788354300,2026-09-02 13:05:00,4338.62,4340.97,4338.4,4340.28,936.0
1788354360,2026-09-02 13:06:00,4340.31,4340.84,4339.57,4340.17,684.0
1788354420,2026-09-02 13:07:00,4340.14,4342.5,4340.13,4341.56,823.0
1788354480,2026-09-02 13:08:00,4341.54,4344.22,4341.34,4343.27,664.0
1788354540,2026-09-02 13:09:00,4343.28,4343.89,4341.67,4341.95,579.0
1788354600,2026-09-02 13:10:00,4341.95,4342.87,4341.63,4342.61,533.0
1788354660,2026-09-02 13:11:00,4342.6,4344.51,4341.59,4341.61,696.0
1788354720,2026-09-02 13:12:00,4341.65,4341.85,4339.7,4339.77,546.0
1788354780,2026-09-02 13:13:00,4339.76,4339.9,4337.88,4338.38,587.0
1788354840,2026-09-02 13:14:00,4338.38,4340.4,4337.61,4339.53,582.0
1788354900,2026-09-02 13:15:00,4339.56,4340.2,4336.66,4338.71,615.0
1788354960,2026-09-02 13:16:00,4338.67,4340.89,4337.54,4340.68,552.0
1788355020,2026-09-02 13:17:00,4340.68,4344.01,4340.49,4343.35,528.0
1788355080,2026-09-02 13:18:00,4343.39,4343.86,4341.65,4343.73,604.0
1788355140,2026-09-02 13:19:00,4343.71,4344.38,4341.96,4342.39,635.0
1788355200,2026-09-02 13:20:00,4342.42,4344.36,4342.04,4342.39,752.0
1788355260,2026-09-02 13:21:00,4342.59,4344.73,4342.26,4343.68,621.0
1788355320,2026-09-02 13:22:00,4343.67,4345.49,4343.44,4345.16,715.0
1788355380,2026-09-02 13:23:00,4345.17,4347.31,4345.06,4347.09,694.0
1788355440,2026-09-02 13:24:00,4347.09,4348.28,4347.05,4348.03,602.0
1788355500,2026-09-02 13:25:00,4348.04,4350.64,4347.53,4348.98,815.0
1788355560,2026-09-02 13:26:00,4348.85,4357.41,4348.64,4357.07,1216.0
1788355620,2026-09-02 13:27:00,4357.09,4358.19,4354.33,4356.41,1358.0
1788355680,2026-09-02 13:28:00,4356.46,4356.66,4353.53,4355.19,1144.0
1788355740,2026-09-02 13:29:00,4355.21,4358.59,4354.63,4358.43,892.0
1788355800,2026-09-02 13:30:00,4358.31,4363.68,4357.64,4363.65,697.0
1788355860,2026-09-02 13:31:00,4363.66,4364.04,4360.33,4362.01,577.0
1788355920,2026-09-02 13:32:00,4362.03,4363.51,4361.05,4362.51,426.0
1788355980,2026-09-02 13:33:00,4362.55,4362.78,4357.03,4358.67,448.0
1788356040,2026-09-02 13:34:00,4365.45,4365.59,4364.19,4364.77,373.0
1788356100,2026-09-02 13:35:00,4364.77,4367.78,4364.66,4367.11,710.0
1788356160,2026-09-02 13:36:00,4367.0,4367.78,4365.01,4367.19,566.0
1788356220,2026-09-02 13:37:00,4367.16,4367.49,4365.15,4366.07,887.0
1788356280,2026-09-02 13:38:00,4366.09,4367.44,4364.27,4365.95,882.0
1788356340,2026-09-02 13:39:00,4365.91,4365.92,4362.47,4363.98,808.0
1788356400,2026-09-02 13:40:00,4366.8,4366.85,4366.79,4366.85,7.0
1788356460,2026-09-02 13:41:00,4366.85,4369.99,4366.85,4369.31,899.0
1788356520,2026-09-02 13:42:00,4369.3,4372.55,4368.28,4370.02,1002.0
1788356580,2026-09-02 13:43:00,4370.0,4375.83,4370.0,4375.01,740.0
1788356640,2026-09-02 13:44:00,4375.0,4375.66,4373.23,4374.19,988.0
1788356700,2026-09-02 13:45:00,4374.14,4377.02,4374.11,4377.0,611.0
1788356760,2026-09-02 13:46:00,4377.01,4379.55,4374.81,4375.69,790.0
1788356820,2026-09-02 13:47:00,4375.67,4379.37,4374.4,4376.3,824.0
1788356880,2026-09-02 13:48:00,4376.31,4378.06,4375.48,4377.86,266.0
