t,o,h,l,c,v,datetime_utc
1788448800,4510.35,4510.85,4503.86,4504.78,4514.0,2026-09-03 15:20:00
1788449100,4504.72,4508.17,4504.15,4506.63,3978.0,2026-09-03 15:25:00
1788449400,4506.6,4509.74,4499.92,4503.21,4202.0,2026-09-03 15:30:00
1788449700,4503.22,4504.92,4495.46,4496.73,4007.0,2026-09-03 15:35:00
1788450000,4496.74,4498.53,4494.95,4495.05,3282.0,2026-09-03 15:40:00
1788450300,4495.06,4495.63,4487.68,4488.54,3425.0,2026-09-03 15:45:00
1788450600,4488.52,4492.14,4487.46,4490.45,3432.0,2026-09-03 15:50:00
1788450900,4490.46,4493.36,4486.21,4493.22,3118.0,2026-09-03 15:55:00
1788451200,4493.26,4493.56,4490.38,4490.7,3053.0,2026-09-03 16:00:00
1788451500,4490.75,4493.16,4487.7,4492.26,3125.0,2026-09-03 16:05:00
1788451800,4492.26,4495.5,4492.21,4493.97,2776.0,2026-09-03 16:10:00
1788452100,4493.96,4494.76,4491.36,4493.76,2516.0,2026-09-03 16:15:00
1788452400,4493.8,4494.29,4491.06,4492.98,2311.0,2026-09-03 16:20:00
1788452700,4492.99,4494.41,4490.61,4493.35,2976.0,2026-09-03 16:25:00
1788453000,4493.38,4495.59,4489.46,4490.84,2727.0,2026-09-03 16:30:00
1788453300,4490.83,4491.87,4489.97,4491.26,2622.0,2026-09-03 16:35:00
1788453600,4491.24,4491.37,4486.79,4487.96,2396.0,2026-09-03 16:40:00
1788453900,4487.95,4491.12,4487.37,4488.88,2367.0,2026-09-03 16:45:00
1788454200,4488.86,4490.25,4485.58,4487.23,2374.0,2026-09-03 16:50:00
1788454500,4487.23,4488.66,4485.84,4486.24,2035.0,2026-09-03 16:55:00
1788454800,4486.26,4487.58,4483.32,4487.17,2771.0,2026-09-03 17:00:00
1788455100,4487.18,4488.81,4485.82,4486.03,2233.0,2026-09-03 17:05:00
1788455400,4486.01,4488.34,4485.77,4487.95,2113.0,2026-09-03 17:10:00
1788455700,4487.93,4488.28,4485.23,4487.65,2173.0,2026-09-03 17:15:00
1788456000,4487.69,4491.41,4487.07,4490.9,2410.0,2026-09-03 17:20:00
1788456300,4490.89,4493.8,4489.77,4492.95,2610.0,2026-09-03 17:25:00
1788456600,4492.97,4494.04,4490.93,4491.83,2275.0,2026-09-03 17:30:00
1788456900,4491.85,4494.13,4491.57,4493.1,1976.0,2026-09-03 17:35:00
1788457200,4493.1,4493.63,4491.89,4491.98,1506.0,2026-09-03 17:40:00
1788457500,4491.99,4494.72,4491.02,4491.48,1851.0,2026-09-03 17:45:00
1788457800,4491.49,4491.51,4488.43,4490.14,1600.0,2026-09-03 17:50:00
1788458100,4490.12,4490.62,4486.52,4486.67,1654.0,2026-09-03 17:55:00
1788458400,4486.65,4489.83,4486.65,4489.39,2169.0,2026-09-03 18:00:00
1788458700,4489.38,4489.38,4484.64,4488.34,2268.0,2026-09-03 18:05:00
1788459000,4488.36,4489.26,4484.05,4484.05,2071.0,2026-09-03 18:10:00
1788459300,4484.02,4486.78,4484.01,4486.42,1890.0,2026-09-03 18:15:00
1788459600,4486.42,4488.18,4482.15,4483.67,1916.0,2026-09-03 18:20:00
1788459900,4483.65,4484.61,4479.82,4479.83,2504.0,2026-09-03 18:25:00
1788460200,4479.82,4480.59,4476.01,4479.31,2736.0,2026-09-03 18:30:00
1788460500,4479.31,4482.88,4478.81,4482.53,1930.0,2026-09-03 18:35:00
1788460800,4482.54,4482.79,4480.78,4481.61,1591.0,2026-09-03 18:40:00
1788461100,4481.59,4482.77,4477.77,4478.84,2022.0,2026-09-03 18:45:00
1788461400,4478.83,4479.35,4475.55,4475.57,2331.0,2026-09-03 18:50:00
