t,o,h,l,c,v,datetime_utc
1788354000,4331.45,4337.56,4330.85,4336.12,1242.0,2026-09-02 13:00:00
1788354060,4336.15,4337.53,4335.37,4336.17,869.0,2026-09-02 13:01:00
1788354120,4336.19,4341.44,4336.1,4339.86,858.0,2026-09-02 13:02:00
1788354180,4339.86,4341.7,4337.96,4338.58,877.0,2026-09-02 13:03:00
1788354240,4338.61,4339.27,4337.53,4338.64,800.0,2026-09-02 13:04:00
1788354300,4338.62,4340.97,4338.4,4340.28,936.0,2026-09-02 13:05:00
1788354360,4340.31,4340.84,4339.57,4340.17,684.0,2026-09-02 13:06:00
1788354420,4340.14,4342.5,4340.13,4341.56,823.0,2026-09-02 13:07:00
1788354480,4341.54,4344.22,4341.34,4343.27,664.0,2026-09-02 13:08:00
1788354540,4343.28,4343.89,4341.67,4341.95,579.0,2026-09-02 13:09:00
1788354600,4341.95,4342.87,4341.63,4342.61,533.0,2026-09-02 13:10:00
1788354660,4342.6,4344.51,4341.59,4341.61,696.0,2026-09-02 13:11:00
1788354720,4341.65,4341.85,4339.7,4339.77,546.0,2026-09-02 13:12:00
1788354780,4339.76,4339.9,4337.88,4338.38,587.0,2026-09-02 13:13:00
1788354840,4338.38,4340.4,4337.61,4339.53,582.0,2026-09-02 13:14:00
1788354900,4339.56,4340.2,4336.66,4338.71,615.0,2026-09-02 13:15:00
1788354960,4338.67,4340.89,4337.54,4340.68,552.0,2026-09-02 13:16:00
1788355020,4340.68,4344.01,4340.49,4343.35,528.0,2026-09-02 13:17:00
1788355080,4343.39,4343.86,4341.65,4343.73,604.0,2026-09-02 13:18:00
1788355140,4343.71,4344.38,4341.96,4342.39,635.0,2026-09-02 13:19:00
1788355200,4342.42,4344.36,4342.04,4342.39,752.0,2026-09-02 13:20:00
1788355260,4342.59,4344.73,4342.26,4343.68,621.0,2026-09-02 13:21:00
1788355320,4343.67,4345.49,4343.44,4345.16,715.0,2026-09-02 13:22:00
1788355380,4345.17,4347.31,4345.06,4347.09,694.0,2026-09-02 13:23:00
1788355440,4347.09,4348.28,4347.05,4348.03,602.0,2026-09-02 13:24:00
1788355500,4348.04,4350.64,4347.53,4348.98,815.0,2026-09-02 13:25:00
1788355560,4348.85,4357.41,4348.64,4357.07,1216.0,2026-09-02 13:26:00
1788355620,4357.09,4358.19,4354.33,4356.41,1358.0,2026-09-02 13:27:00
1788355680,4356.46,4356.66,4353.53,4355.19,1144.0,2026-09-02 13:28:00
1788355740,4355.21,4358.59,4354.63,4358.43,892.0,2026-09-02 13:29:00
1788355800,4358.31,4363.68,4357.64,4363.65,697.0,2026-09-02 13:30:00
1788355860,4363.66,4364.04,4360.33,4362.01,577.0,2026-09-02 13:31:00
1788355920,4362.03,4363.51,4361.05,4362.51,426.0,2026-09-02 13:32:00
1788355980,4362.55,4362.78,4357.03,4358.67,448.0,2026-09-02 13:33:00
1788356040,4365.45,4365.59,4364.19,4364.77,373.0,2026-09-02 13:34:00
1788356100,4364.77,4367.78,4364.66,4367.11,710.0,2026-09-02 13:35:00
1788356160,4367.0,4367.78,4365.01,4367.19,566.0,2026-09-02 13:36:00
1788356220,4367.16,4367.49,4365.15,4366.07,887.0,2026-09-02 13:37:00
1788356280,4366.09,4367.44,4364.27,4365.95,882.0,2026-09-02 13:38:00
1788356340,4365.91,4365.92,4362.47,4363.98,808.0,2026-09-02 13:39:00
1788356400,4366.8,4366.85,4366.79,4366.85,7.0,2026-09-02 13:40:00
1788356460,4366.85,4369.99,4366.85,4369.31,899.0,2026-09-02 13:41:00
1788356520,4369.3,4372.55,4368.28,4370.02,1002.0,2026-09-02 13:42:00
1788356580,4370.0,4375.83,4370.0,4375.01,740.0,2026-09-02 13:43:00
1788356640,4375.0,4375.66,4373.23,4374.19,988.0,2026-09-02 13:44:00
1788356700,4374.14,4377.02,4374.11,4377.0,611.0,2026-09-02 13:45:00
1788356760,4377.01,4379.55,4374.81,4375.69,790.0,2026-09-02 13:46:00
1788356820,4375.67,4379.37,4374.4,4376.3,824.0,2026-09-02 13:47:00
1788356880,4376.31,4378.06,4375.48,4377.86,266.0,2026-09-02 13:48:00
1788356940,4370.66,4370.66,4368.31,4368.59,658.0,2026-09-02 13:49:00
1788357000,4368.55,4372.56,4367.81,4371.85,886.0,2026-09-02 13:50:00
1788357060,4372.09,4373.86,4371.19,4372.34,1001.0,2026-09-02 13:51:00
1788357120,4372.36,4373.05,4371.02,4373.04,575.0,2026-09-02 13:52:00
1788357180,4373.06,4377.56,4372.59,4376.96,638.0,2026-09-02 13:53:00
1788357240,4376.94,4378.25,4375.54,4377.0,840.0,2026-09-02 13:54:00
1788357300,4376.99,4377.39,4374.51,4375.24,665.0,2026-09-02 13:55:00
1788357360,4375.27,4377.64,4374.68,4377.17,727.0,2026-09-02 13:56:00
1788357420,4377.18,4377.18,4375.85,4376.5,204.0,2026-09-02 13:57:00
1788357480,4378.98,4381.05,4378.98,4380.53,638.0,2026-09-02 13:58:00
1788357540,4380.52,4385.64,4380.2,4385.34,936.0,2026-09-02 13:59:00
1788357600,4385.42,4385.49,4381.92,4384.8,602.0,2026-09-02 14:00:00
1788357660,4384.84,4385.69,4382.03,4383.35,812.0,2026-09-02 14:01:00
1788357720,4383.36,4383.92,4380.04,4381.7,673.0,2026-09-02 14:02:00
1788357780,4381.7,4381.83,4378.93,4380.87,792.0,2026-09-02 14:03:00
1788357840,4380.86,4383.56,4380.44,4382.54,674.0,2026-09-02 14:04:00
1788357900,4388.93,4389.22,4388.34,4388.93,76.0,2026-09-02 14:05:00
1788357960,4388.96,4389.4,4386.63,4387.38,1023.0,2026-09-02 14:06:00
1788358020,4387.39,4390.15,4387.39,4390.05,849.0,2026-09-02 14:07:00
1788358080,4390.04,4392.84,4390.04,4392.84,907.0,2026-09-02 14:08:00
1788358140,4392.85,4394.17,4392.19,4392.91,879.0,2026-09-02 14:09:00
1788358200,4392.9,4396.66,4392.42,4393.65,936.0,2026-09-02 14:10:00
