t,datetime_utc,datetime_est,o,h,l,c,v
1788429600,2026-09-03 10:00:00,2026-09-03 06:00:00,4427.56,4428.46,4427.02,4427.16,516
1788429660,2026-09-03 10:01:00,2026-09-03 06:01:00,4427.16,4427.84,4426.78,4427.1,498
1788429720,2026-09-03 10:02:00,2026-09-03 06:02:00,4427.11,4427.39,4425.53,4426.57,446
1788429780,2026-09-03 10:03:00,2026-09-03 06:03:00,4426.55,4427.41,4425.77,4427.09,443
1788429840,2026-09-03 10:04:00,2026-09-03 06:04:00,4427.09,4427.74,4426.91,4427.38,378
1788429900,2026-09-03 10:05:00,2026-09-03 06:05:00,4427.39,4428.54,4427.33,4428.41,418
1788429960,2026-09-03 10:06:00,2026-09-03 06:06:00,4428.42,4429.74,4428.2,4429.36,413
1788430020,2026-09-03 10:07:00,2026-09-03 06:07:00,4429.36,4429.94,4428.23,4428.46,393
1788430080,2026-09-03 10:08:00,2026-09-03 06:08:00,4428.53,4428.54,4426.28,4426.62,393
1788430140,2026-09-03 10:09:00,2026-09-03 06:09:00,4426.65,4426.68,4425.26,4425.36,405
1788430200,2026-09-03 10:10:00,2026-09-03 06:10:00,4425.31,4425.79,4424.06,4424.17,513
1788430260,2026-09-03 10:11:00,2026-09-03 06:11:00,4424.18,4424.54,4423.38,4423.79,443
1788430320,2026-09-03 10:12:00,2026-09-03 06:12:00,4423.79,4424.65,4423.42,4423.42,537
1788430380,2026-09-03 10:13:00,2026-09-03 06:13:00,4423.4,4424.15,4423.17,4424.12,532
1788430440,2026-09-03 10:14:00,2026-09-03 06:14:00,4424.13,4425.29,4423.66,4424.57,439
1788430500,2026-09-03 10:15:00,2026-09-03 06:15:00,4424.56,4425.74,4424.05,4425.61,392
1788430560,2026-09-03 10:16:00,2026-09-03 06:16:00,4425.63,4425.67,4423.5,4423.64,440
1788430620,2026-09-03 10:17:00,2026-09-03 06:17:00,4423.64,4424.31,4423.27,4423.55,432
1788430680,2026-09-03 10:18:00,2026-09-03 06:18:00,4423.51,4423.91,4422.8,4423.65,373
1788430740,2026-09-03 10:19:00,2026-09-03 06:19:00,4423.66,4423.78,4421.87,4422.13,432
1788430800,2026-09-03 10:20:00,2026-09-03 06:20:00,4422.13,4422.26,4420.83,4421.58,417
1788430860,2026-09-03 10:21:00,2026-09-03 06:21:00,4421.56,4421.81,4421.03,4421.69,317
1788430920,2026-09-03 10:22:00,2026-09-03 06:22:00,4421.68,4423.0,4421.61,4422.8,299
1788430980,2026-09-03 10:23:00,2026-09-03 06:23:00,4422.8,4422.95,4421.22,4421.22,231
1788431040,2026-09-03 10:24:00,2026-09-03 06:24:00,4421.22,4422.39,4418.85,4419.96,452
1788431100,2026-09-03 10:25:00,2026-09-03 06:25:00,4419.96,4422.82,4419.96,4422.52,441
1788431160,2026-09-03 10:26:00,2026-09-03 06:26:00,4422.54,4423.07,4421.88,4422.71,336
1788431220,2026-09-03 10:27:00,2026-09-03 06:27:00,4422.73,4424.07,4421.98,4424.07,563
1788431280,2026-09-03 10:28:00,2026-09-03 06:28:00,4424.06,4424.16,4421.95,4421.95,463
1788431340,2026-09-03 10:29:00,2026-09-03 06:29:00,4421.94,4423.22,4421.38,4422.64,404
1788431400,2026-09-03 10:30:00,2026-09-03 06:30:00,4422.65,4422.65,4421.08,4421.41,510
1788431460,2026-09-03 10:31:00,2026-09-03 06:31:00,4421.42,4421.83,4420.24,4420.37,450
1788431520,2026-09-03 10:32:00,2026-09-03 06:32:00,4420.36,4423.26,4420.1,4421.79,539
1788431580,2026-09-03 10:33:00,2026-09-03 06:33:00,4421.78,4424.28,4421.46,4423.41,405
1788431640,2026-09-03 10:34:00,2026-09-03 06:34:00,4423.42,4423.6,4422.32,4422.65,361
1788431700,2026-09-03 10:35:00,2026-09-03 06:35:00,4422.65,4423.62,4422.08,4423.47,469
1788431760,2026-09-03 10:36:00,2026-09-03 06:36:00,4423.48,4424.94,4423.13,4423.93,450
1788431820,2026-09-03 10:37:00,2026-09-03 06:37:00,4423.92,4424.33,4422.66,4423.18,456
