t,datetime_utc,datetime_est,o,h,l,c,v
1788393600,2026-09-03 00:00:00,2026-09-02 20:00:00,4385.67,4389.7,4384.6,4389.3,2092
1788393900,2026-09-03 00:05:00,2026-09-02 20:05:00,4389.29,4390.81,4384.99,4387.13,1710
1788394200,2026-09-03 00:10:00,2026-09-02 20:10:00,4387.12,4392.54,4387.1,4390.35,1580
1788394500,2026-09-03 00:15:00,2026-09-02 20:15:00,4390.33,4390.4,4385.33,4386.99,1679
1788394800,2026-09-03 00:20:00,2026-09-02 20:20:00,4386.99,4387.96,4385.31,4387.92,1554
1788395100,2026-09-03 00:25:00,2026-09-02 20:25:00,4387.93,4390.27,4387.04,4387.23,1555
1788395400,2026-09-03 00:30:00,2026-09-02 20:30:00,4387.23,4387.25,4382.73,4382.84,1288
1788395700,2026-09-03 00:35:00,2026-09-02 20:35:00,4382.88,4389.61,4382.55,4389.08,1446
1788396000,2026-09-03 00:40:00,2026-09-02 20:40:00,4389.07,4389.81,4387.1,4387.74,1352
1788396300,2026-09-03 00:45:00,2026-09-02 20:45:00,4387.74,4389.98,4385.77,4389.98,1774
1788396600,2026-09-03 00:50:00,2026-09-02 20:50:00,4389.99,4393.92,4389.33,4391.58,1928
1788396900,2026-09-03 00:55:00,2026-09-02 20:55:00,4391.64,4397.87,4390.7,4395.49,1873
1788397200,2026-09-03 01:00:00,2026-09-02 21:00:00,4395.51,4397.16,4387.4,4395.53,4685
1788397500,2026-09-03 01:05:00,2026-09-02 21:05:00,4395.52,4403.06,4392.59,4402.58,3449
1788397800,2026-09-03 01:10:00,2026-09-02 21:10:00,4402.55,4409.41,4401.03,4401.42,3650
1788398100,2026-09-03 01:15:00,2026-09-02 21:15:00,4401.4,4403.72,4396.8,4398.51,2984
1788398400,2026-09-03 01:20:00,2026-09-02 21:20:00,4398.5,4402.94,4395.29,4396.04,2943
1788398700,2026-09-03 01:25:00,2026-09-02 21:25:00,4395.96,4402.15,4394.04,4401.74,2846
1788399000,2026-09-03 01:30:00,2026-09-02 21:30:00,4401.71,4409.33,4401.48,4409.15,3440
1788399300,2026-09-03 01:35:00,2026-09-02 21:35:00,4409.15,4409.42,4404.87,4408.01,2722
1788399600,2026-09-03 01:40:00,2026-09-02 21:40:00,4408.02,4408.08,4400.43,4400.83,2636
1788399900,2026-09-03 01:45:00,2026-09-02 21:45:00,4400.77,4408.32,4400.26,4407.53,2501
1788400200,2026-09-03 01:50:00,2026-09-02 21:50:00,4407.53,4407.85,4404.56,4407.49,2301
1788400500,2026-09-03 01:55:00,2026-09-02 21:55:00,4407.52,4412.39,4407.19,4410.34,2598
1788400800,2026-09-03 02:00:00,2026-09-02 22:00:00,4410.35,4415.57,4409.61,4410.84,3293
1788401100,2026-09-03 02:05:00,2026-09-02 22:05:00,4410.83,4412.88,4409.19,4410.15,2998
1788401400,2026-09-03 02:10:00,2026-09-02 22:10:00,4410.13,4413.41,4409.63,4411.12,3471
1788401700,2026-09-03 02:15:00,2026-09-02 22:15:00,4411.18,4413.42,4409.32,4410.25,2127
1788402000,2026-09-03 02:20:00,2026-09-02 22:20:00,4410.24,4412.57,4406.79,4409.65,2230
1788402300,2026-09-03 02:25:00,2026-09-02 22:25:00,4409.67,4411.69,4407.8,4411.56,1967
1788402600,2026-09-03 02:30:00,2026-09-02 22:30:00,4411.53,4417.42,4409.49,4415.52,3389
1788402900,2026-09-03 02:35:00,2026-09-02 22:35:00,4415.53,4418.09,4414.07,4416.31,2951
1788403200,2026-09-03 02:40:00,2026-09-02 22:40:00,4416.31,4416.94,4412.68,4413.65,2281
1788403500,2026-09-03 02:45:00,2026-09-02 22:45:00,4413.66,4417.51,4411.58,4417.33,2496
1788403800,2026-09-03 02:50:00,2026-09-02 22:50:00,4417.33,4420.23,4415.95,4419.74,2967
