timestamp,order_id,position_id,track_id,side,qty,entry_price,exit_price,tp_price,sl_price,duration_sec,gross_pnl,commission,net_pnl,close_reason,balance
2026-09-06 19:12:32.366,360287970300000020,360287970300000011,C,BUY,0.03,4429.80,4429.60,4433.05,4429.60,0.0,-0.60,0.21,-0.81,STOP_LOSS,4774.85
2026-09-06 19:12:32.367,360287970300000025,360287970300000016,C,SELL,0.03,4429.72,4426.39,4426.39,4428.06,0.0,9.99,0.21,9.78,WIN_TP,4784.63
2026-09-06 19:12:33.789,360287970300000019,360287970300000014,A,SELL,0.1,4423.57,4421.57,4421.57,4422.57,0.0,20.00,0.70,19.30,WIN_TP,4794.96
2026-09-06 19:12:34.084,360287970300000042,360287970300000037,A,SELL,0.1,4417.98,4418.10,4415.98,4418.10,0.0,-1.20,0.70,-1.90,STOP_LOSS,4793.06
2026-09-06 19:12:34.267,360287970300000055,360287970300000051,A,SELL,0.1,4420.54,4420.04,4418.54,4420.04,0.0,5.00,0.70,4.30,RATCHET_WIN,4797.36
2026-09-06 19:12:34.391,360287970300000070,360287970300000065,A,SELL,0.1,4420.86,4418.86,4418.86,4419.86,0.0,20.00,0.70,19.30,WIN_TP,4816.66
2026-09-06 19:12:34.503,360287970300000095,360287970300000087,A,SELL,0.1,4416.03,4415.53,4414.03,4415.53,0.0,5.00,0.70,4.30,RATCHET_WIN,4820.96
2026-09-06 19:12:34.584,360287970300000113,360287970300000104,A,SELL,0.1,4411.09,4409.09,4409.09,4410.09,0.0,20.00,0.70,19.30,WIN_TP,4840.26
2026-09-06 19:12:34.884,360287970300000126,360287970300000119,A,SELL,0.1,4397.55,4395.55,4395.55,4396.55,0.0,20.00,0.70,19.30,WIN_TP,4859.56
2026-09-06 19:12:34.991,360287970300000147,360287970300000142,A,SELL,0.1,4396.94,4394.94,4394.94,4395.94,0.0,20.00,0.70,19.30,WIN_TP,4878.86
2026-09-06 19:12:35.042,360287970300000169,360287970300000163,A,SELL,0.1,4385.02,4385.14,4383.02,4385.14,0.0,-1.20,0.70,-1.90,STOP_LOSS,4876.96
2026-09-06 19:12:35.075,360287970300000179,360287970300000178,A,SELL,0.1,4382.95,4380.95,4380.95,4381.95,0.0,20.00,0.70,19.30,WIN_TP,4896.26
2026-09-06 19:12:35.200,360287970300000188,360287970300000187,A,SELL,0.1,4373.81,4373.76,4371.81,4373.76,0.0,0.50,0.70,-0.20,BE_PROTECTED,4896.06
2026-09-06 19:12:35.254,360287970300000208,360287970300000202,A,SELL,0.1,4380.55,4378.55,4378.55,4379.55,0.0,20.00,0.70,19.30,WIN_TP,4915.36
2026-09-06 19:12:35.513,360287970300000226,360287970300000218,A,SELL,0.1,4376.65,4376.60,4374.65,4376.60,0.0,0.50,0.70,-0.20,BE_PROTECTED,4915.16
2026-09-06 19:12:35.579,360287970300000240,360287970300000236,A,SELL,0.1,4370.52,4368.52,4368.52,4369.52,0.0,20.00,0.70,19.30,WIN_TP,4934.46
