timestamp_utc,epoch_ts,event_type,order_id,position_id,track_id,side,qty_lots,trigger_price,fill_price,exit_price,slippage_cents,initial_sl,active_sl,tp_price,market_spread_cents,tick_vel_at_event,trade_duration_sec,ticks_during_trade,gross_pnl,broker_fee,net_pnl,balance,loss_floor_buffer,reason
2026-09-06 19:11:00.759,1788721860.759,ORDER_FILLED,360287970300000007,360287970300000010,B,BUY,0.03,4475.73,4475.73,0.00,+0.0,4475.53,4475.53,4478.98,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:00.759,1788721860.760,ORDER_FILLED,360287970300000015,360287970300000022,C,BUY,0.03,4475.73,4475.73,0.00,+0.0,4475.53,4475.53,4478.98,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:00.760,1788721860.761,ORDER_FILLED,360287970300000026,360287970300000030,C,SELL,0.03,4475.65,4475.65,0.00,+0.0,4475.77,4475.77,4472.32,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:00.761,1788721860.761,ORDER_FILLED,360287970300000038,360287970300000046,A,BUY,0.10,4477.73,4477.73,0.00,+0.0,4477.53,4477.53,4479.65,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:09.788,1788721869.789,ORDER_FILLED,360287970300000001,360287970300000006,B,BUY,0.03,4395.23,4395.23,0.00,+0.0,4395.03,4395.03,4398.48,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:09.789,1788721869.790,ORDER_FILLED,360287970300000014,360287970300000015,C,BUY,0.03,4395.23,4395.23,0.00,+0.0,4395.03,4395.03,4398.48,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:09.790,1788721869.790,ORDER_FILLED,360287970300000019,360287970300000024,C,SELL,0.03,4395.15,4395.15,0.00,+0.0,4395.27,4395.27,4391.82,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:09.821,1788721869.822,ORDER_FILLED,360287970300000007,360287970300000009,B,BUY,0.03,4434.23,4434.23,0.00,+0.0,4434.03,4434.03,4437.48,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:09.822,1788721869.822,ORDER_FILLED,360287970300000016,360287970300000022,C,BUY,0.03,4434.23,4434.23,0.00,+0.0,4434.03,4434.03,4437.48,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:09.823,1788721869.824,ORDER_FILLED,360287970300000027,360287970300000030,C,SELL,0.03,4434.15,4434.15,0.00,+0.0,4434.27,4434.27,4430.82,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:36.867,1788721896.868,ORDER_FILLED,360287970300000008,360287970300000017,B,BUY,0.03,4395.24,4395.24,0.00,+0.0,4395.03,4395.03,4398.48,9.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:36.868,1788721896.869,ORDER_FILLED,360287970300000020,360287970300000022,C,BUY,0.03,4395.24,4395.24,0.00,+0.0,4395.03,4395.03,4398.48,9.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:11:36.869,1788721896.870,ORDER_FILLED,360287970300000026,360287970300000029,C,SELL,0.03,4395.15,4395.15,0.00,+0.0,4395.27,4395.27,4391.82,9.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:12:32.364,1788721952.364,ORDER_FILLED,360287970300000005,360287970300000011,C,BUY,0.03,4429.80,4429.80,0.00,+0.0,4429.60,4429.60,4433.05,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:12:32.365,1788721952.366,ORDER_FILLED,360287970300000012,360287970300000016,C,SELL,0.03,4429.72,4429.72,0.00,+0.0,4429.84,4429.84,4426.39,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:12:32.367,1788721952.367,POSITION_CLOSED_STOP_LOSS,360287970300000020,360287970300000011,C,BUY,0.03,4429.80,4429.80,4429.60,+0.0,4429.60,4429.60,4433.05,0.0,0.0,0.00,0,-0.60,0.21,-0.81,4774.85,74.85,STOP_LOSS
2026-09-06 19:12:32.369,1788721952.369,POSITION_CLOSED_WIN_TP,360287970300000025,360287970300000016,C,SELL,0.03,4429.72,4429.72,4426.39,+0.0,4428.06,4428.06,4426.39,0.0,0.0,0.00,0,9.99,0.21,9.78,4784.63,84.63,WIN_TP
2026-09-06 19:12:33.781,1788721953.782,ORDER_FILLED,360287970300000006,360287970300000014,A,SELL,0.10,4423.57,4423.57,0.00,+0.0,4423.69,4423.69,4421.57,9.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-06 19:12:33.792,1788721953.793,POSITION_CLOSED_WIN_TP,360287970300000019,360287970300000014,A,SELL,0.10,4423.57,4423.57,4421.57,+0.0,4422.57,4422.57,4421.57,0.0,0.0,0.00,0,20.00,0.70,19.30,4794.96,94.96,WIN_TP
2026-09-06 19:12:34.079,1788721954.080,ORDER_FILLED,360287970300000028,360287970300000037,A,SELL,0.10,4417.98,4417.98,0.00,+0.0,4418.10,4418.10,4415.98,9.0,0.0,0.00,0,0.00,0.00,0.00,4794.96,94.96,INITIAL_FILL
2026-09-06 19:12:34.138,1788721954.139,POSITION_CLOSED_STOP_LOSS,360287970300000042,360287970300000037,A,SELL,0.10,4417.98,4417.98,4418.10,+0.0,4418.10,4418.10,4415.98,0.0,0.0,0.00,0,-1.20,0.70,-1.90,4793.06,93.06,STOP_LOSS
2026-09-06 19:12:34.232,1788721954.233,ORDER_FILLED,360287970300000044,360287970300000051,A,SELL,0.10,4420.54,4420.54,0.00,+0.0,4420.66,4420.66,4418.54,9.0,0.0,0.00,0,0.00,0.00,0.00,4793.06,93.06,INITIAL_FILL
2026-09-06 19:12:34.269,1788721954.270,POSITION_CLOSED_RATCHET_WIN,360287970300000055,360287970300000051,A,SELL,0.10,4420.54,4420.54,4420.04,+0.0,4420.04,4420.04,4418.54,0.0,0.0,0.00,0,5.00,0.70,4.30,4797.36,97.36,RATCHET_WIN
2026-09-06 19:12:34.370,1788721954.371,ORDER_FILLED,360287970300000064,360287970300000065,A,SELL,0.10,4420.86,4420.86,0.00,+0.0,4420.98,4420.98,4418.86,9.0,0.0,0.00,0,0.00,0.00,0.00,4797.36,97.36,INITIAL_FILL
2026-09-06 19:12:34.393,1788721954.394,POSITION_CLOSED_WIN_TP,360287970300000070,360287970300000065,A,SELL,0.10,4420.86,4420.86,4418.86,+0.0,4419.86,4419.86,4418.86,0.0,0.0,0.00,0,20.00,0.70,19.30,4816.66,116.66,WIN_TP
2026-09-06 19:12:34.482,1788721954.482,ORDER_FILLED,360287970300000078,360287970300000087,A,SELL,0.10,4416.03,4416.03,0.00,+0.0,4416.15,4416.15,4414.03,9.0,0.0,0.00,0,0.00,0.00,0.00,4816.66,116.66,INITIAL_FILL
2026-09-06 19:12:34.505,1788721954.505,POSITION_CLOSED_RATCHET_WIN,360287970300000095,360287970300000087,A,SELL,0.10,4416.03,4416.03,4415.53,+0.0,4415.53,4415.53,4414.03,0.0,0.0,0.00,0,5.00,0.70,4.30,4820.96,120.96,RATCHET_WIN
2026-09-06 19:12:34.582,1788721954.583,ORDER_FILLED,360287970300000103,360287970300000104,A,SELL,0.10,4411.09,4411.09,0.00,+0.0,4411.21,4411.21,4409.09,9.0,0.0,0.00,0,0.00,0.00,0.00,4820.96,120.96,INITIAL_FILL
2026-09-06 19:12:34.586,1788721954.587,POSITION_CLOSED_WIN_TP,360287970300000113,360287970300000104,A,SELL,0.10,4411.09,4411.09,4409.09,+0.0,4410.09,4410.09,4409.09,0.0,0.0,0.00,0,20.00,0.70,19.30,4840.26,140.26,WIN_TP
2026-09-06 19:12:34.883,1788721954.883,ORDER_FILLED,360287970300000118,360287970300000119,A,SELL,0.10,4397.55,4397.55,0.00,+0.0,4397.67,4397.67,4395.55,9.0,0.0,0.00,0,0.00,0.00,0.00,4840.26,140.26,INITIAL_FILL
2026-09-06 19:12:34.886,1788721954.886,POSITION_CLOSED_WIN_TP,360287970300000126,360287970300000119,A,SELL,0.10,4397.55,4397.55,4395.55,+0.0,4396.55,4396.55,4395.55,0.0,0.0,0.00,0,20.00,0.70,19.30,4859.56,159.56,WIN_TP
2026-09-06 19:12:34.984,1788721954.984,ORDER_FILLED,360287970300000135,360287970300000142,A,SELL,0.10,4396.94,4396.94,0.00,+0.0,4397.06,4397.06,4394.94,9.0,0.0,0.00,0,0.00,0.00,0.00,4859.56,159.56,INITIAL_FILL
2026-09-06 19:12:34.993,1788721954.993,POSITION_CLOSED_WIN_TP,360287970300000147,360287970300000142,A,SELL,0.10,4396.94,4396.94,4394.94,+0.0,4395.94,4395.94,4394.94,0.0,0.0,0.00,0,20.00,0.70,19.30,4878.86,178.86,WIN_TP
2026-09-06 19:12:35.041,1788721955.042,ORDER_FILLED,360287970300000155,360287970300000163,A,SELL,0.10,4385.02,4385.02,0.00,+0.0,4385.14,4385.14,4383.02,9.0,0.0,0.00,0,0.00,0.00,0.00,4878.86,178.86,INITIAL_FILL
2026-09-06 19:12:35.043,1788721955.044,POSITION_CLOSED_STOP_LOSS,360287970300000169,360287970300000163,A,SELL,0.10,4385.02,4385.02,4385.14,+0.0,4385.14,4385.14,4383.02,0.0,0.0,0.00,0,-1.20,0.70,-1.90,4876.96,176.96,STOP_LOSS
2026-09-06 19:12:35.073,1788721955.073,ORDER_FILLED,360287970300000177,360287970300000178,A,SELL,0.10,4382.95,4382.95,0.00,+0.0,4383.07,4383.07,4380.95,9.0,0.0,0.00,0,0.00,0.00,0.00,4876.96,176.96,INITIAL_FILL
2026-09-06 19:12:35.078,1788721955.078,POSITION_CLOSED_WIN_TP,360287970300000179,360287970300000178,A,SELL,0.10,4382.95,4382.95,4380.95,+0.0,4381.95,4381.95,4380.95,0.0,0.0,0.00,0,20.00,0.70,19.30,4896.26,196.26,WIN_TP
2026-09-06 19:12:35.195,1788721955.195,ORDER_FILLED,360287970300000185,360287970300000187,A,SELL,0.10,4373.81,4373.81,0.00,+0.0,4373.93,4373.93,4371.81,9.0,0.0,0.00,0,0.00,0.00,0.00,4896.26,196.26,INITIAL_FILL
2026-09-06 19:12:35.202,1788721955.202,POSITION_CLOSED_BE_PROTECTED,360287970300000188,360287970300000187,A,SELL,0.10,4373.81,4373.81,4373.76,+0.0,4373.76,4373.76,4371.81,0.0,0.0,0.00,0,0.50,0.70,-0.20,4896.06,196.06,BE_PROTECTED
2026-09-06 19:12:35.253,1788721955.253,ORDER_FILLED,360287970300000195,360287970300000202,A,SELL,0.10,4380.55,4380.55,0.00,+0.0,4380.67,4380.67,4378.55,9.0,0.0,0.00,0,0.00,0.00,0.00,4896.06,196.06,INITIAL_FILL
2026-09-06 19:12:35.255,1788721955.255,POSITION_CLOSED_WIN_TP,360287970300000208,360287970300000202,A,SELL,0.10,4380.55,4380.55,4378.55,+0.0,4379.55,4379.55,4378.55,0.0,0.0,0.00,0,20.00,0.70,19.30,4915.36,215.36,WIN_TP
2026-09-06 19:12:35.510,1788721955.510,ORDER_FILLED,360287970300000215,360287970300000218,A,SELL,0.10,4376.65,4376.65,0.00,+0.0,4376.77,4376.77,4374.65,9.0,0.0,0.00,0,0.00,0.00,0.00,4915.36,215.36,INITIAL_FILL
2026-09-06 19:12:35.514,1788721955.514,POSITION_CLOSED_BE_PROTECTED,360287970300000226,360287970300000218,A,SELL,0.10,4376.65,4376.65,4376.60,+0.0,4376.60,4376.60,4374.65,0.0,0.0,0.00,0,0.50,0.70,-0.20,4915.16,215.16,BE_PROTECTED
2026-09-06 19:12:35.578,1788721955.579,ORDER_FILLED,360287970300000230,360287970300000236,A,SELL,0.10,4370.52,4370.52,0.00,+0.0,4370.64,4370.64,4368.52,9.0,0.0,0.00,0,0.00,0.00,0.00,4915.16,215.16,INITIAL_FILL
2026-09-06 19:12:35.581,1788721955.582,POSITION_CLOSED_WIN_TP,360287970300000240,360287970300000236,A,SELL,0.10,4370.52,4370.52,4368.52,+0.0,4369.52,4369.52,4368.52,0.0,0.0,0.00,0,20.00,0.70,19.30,4934.46,234.46,WIN_TP
2026-09-06 19:12:35.628,1788721955.628,ORDER_FILLED,360287970300000244,360287970300000245,A,SELL,0.10,4373.72,4373.72,0.00,+0.0,4373.84,4373.84,4371.72,9.0,0.0,0.00,0,0.00,0.00,0.00,4934.46,234.46,INITIAL_FILL
2026-09-06 19:12:35.632,1788721955.633,POSITION_CLOSED_WIN_TP,360287970300000249,360287970300000245,A,SELL,0.10,4373.72,4373.72,4371.72,+0.0,4372.72,4372.72,4371.72,0.0,0.0,0.00,0,20.00,0.70,19.30,4953.76,253.76,WIN_TP
2026-09-06 19:12:35.921,1788721955.921,ORDER_FILLED,360287970300000255,360287970300000263,A,SELL,0.10,4376.68,4376.68,0.00,+0.0,4376.80,4376.80,4374.68,9.0,0.0,0.00,0,0.00,0.00,0.00,4953.76,253.76,INITIAL_FILL
2026-09-06 19:12:35.933,1788721955.933,POSITION_CLOSED_BE_PROTECTED,360287970300000271,360287970300000263,A,SELL,0.10,4376.68,4376.68,4376.63,+0.0,4376.63,4376.63,4374.68,0.0,0.0,0.00,0,0.50,0.70,-0.20,4953.56,253.56,BE_PROTECTED
2026-09-06 19:12:35.957,1788721955.957,ORDER_FILLED,360287970300000274,360287970300000281,A,SELL,0.10,4376.13,4376.13,0.00,+0.0,4376.25,4376.25,4374.13,9.0,0.0,0.00,0,0.00,0.00,0.00,4953.56,253.56,INITIAL_FILL
2026-09-06 19:12:35.965,1788721955.965,POSITION_CLOSED_BE_PROTECTED,360287970300000286,360287970300000281,A,SELL,0.10,4376.13,4376.13,4376.08,+0.0,4376.08,4376.08,4374.13,0.0,0.0,0.00,0,0.50,0.70,-0.20,4953.36,253.36,BE_PROTECTED
2026-09-06 19:12:35.989,1788721955.990,ORDER_FILLED,360287970300000291,360287970300000300,A,SELL,0.10,4375.19,4375.19,0.00,+0.0,4375.31,4375.31,4373.19,9.0,0.0,0.00,0,0.00,0.00,0.00,4953.36,253.36,INITIAL_FILL
2026-09-06 19:12:36.006,1788721956.007,POSITION_CLOSED_RATCHET_WIN,360287970300000309,360287970300000300,A,SELL,0.10,4375.19,4375.19,4374.69,+0.0,4374.69,4374.69,4373.19,0.0,0.0,0.00,0,5.00,0.70,4.30,4957.66,257.66,RATCHET_WIN
2026-09-06 19:12:36.040,1788721956.041,ORDER_FILLED,360287970300000314,360287970300000317,A,SELL,0.10,4372.89,4372.89,0.00,+0.0,4373.01,4373.01,4370.89,9.0,0.0,0.00,0,0.00,0.00,0.00,4957.66,257.66,INITIAL_FILL
2026-09-06 19:12:36.042,1788721956.043,POSITION_CLOSED_WIN_TP,360287970300000323,360287970300000317,A,SELL,0.10,4372.89,4372.89,4370.89,+0.0,4371.89,4371.89,4370.89,0.0,0.0,0.00,0,20.00,0.70,19.30,4976.96,276.96,WIN_TP
2026-09-06 19:12:36.083,1788721956.083,ORDER_FILLED,360287970300000330,360287970300000337,A,SELL,0.10,4370.73,4370.73,0.00,+0.0,4370.85,4370.85,4368.73,9.0,0.0,0.00,0,0.00,0.00,0.00,4976.96,276.96,INITIAL_FILL
2026-09-06 19:12:36.087,1788721956.087,POSITION_CLOSED_WIN_TP,360287970300000345,360287970300000337,A,SELL,0.10,4370.73,4370.73,4368.73,+0.0,4369.73,4369.73,4368.73,0.0,0.0,0.00,0,20.00,0.70,19.30,4996.26,296.26,WIN_TP
2026-09-06 19:12:36.576,1788721956.576,ORDER_FILLED,360287970300000349,360287970300000357,A,SELL,0.10,4372.04,4372.04,0.00,+0.0,4372.16,4372.16,4370.04,9.0,0.0,0.00,0,0.00,0.00,0.00,4996.26,296.26,INITIAL_FILL
2026-09-06 19:12:36.580,1788721956.580,POSITION_CLOSED_WIN_TP,360287970300000360,360287970300000357,A,SELL,0.10,4372.04,4372.04,4370.04,+0.0,4371.04,4371.04,4370.04,0.0,0.0,0.00,0,20.00,0.70,19.30,5015.56,315.56,WIN_TP
2026-09-06 19:12:36.945,1788721956.945,ORDER_FILLED,360287970300000362,360287970300000365,A,SELL,0.10,4368.40,4368.40,0.00,+0.0,4368.52,4368.52,4366.40,9.0,0.0,0.00,0,0.00,0.00,0.00,5015.56,315.56,INITIAL_FILL
2026-09-06 19:12:36.947,1788721956.947,POSITION_CLOSED_WIN_TP,360287970300000369,360287970300000365,A,SELL,0.10,4368.40,4368.40,4366.40,+0.0,4367.40,4367.40,4366.40,0.0,0.0,0.00,0,20.00,0.70,19.30,5034.86,334.86,WIN_TP
2026-09-06 19:12:37.088,1788721957.088,ORDER_FILLED,360287970300000375,360287970300000378,A,SELL,0.10,4370.31,4370.31,0.00,+0.0,4370.43,4370.43,4368.31,9.0,0.0,0.00,0,0.00,0.00,0.00,5034.86,334.86,INITIAL_FILL
2026-09-06 19:12:37.098,1788721957.099,POSITION_CLOSED_WIN_TP,360287970300000380,360287970300000378,A,SELL,0.10,4370.31,4370.31,4368.31,+0.0,4369.31,4369.31,4368.31,0.0,0.0,0.00,0,20.00,0.70,19.30,5054.16,354.16,WIN_TP
2026-09-06 19:12:38.507,1788721958.507,ORDER_FILLED,360287970300000385,360287970300000392,A,SELL,0.10,4378.08,4378.08,0.00,+0.0,4378.20,4378.20,4376.08,9.0,0.0,0.00,0,0.00,0.00,0.00,5054.16,354.16,INITIAL_FILL
2026-09-06 19:12:38.510,1788721958.510,POSITION_CLOSED_WIN_TP,360287970300000393,360287970300000392,A,SELL,0.10,4378.08,4378.08,4376.08,+0.0,4377.08,4377.08,4376.08,0.0,0.0,0.00,0,20.00,0.70,19.30,5073.46,373.46,WIN_TP
2026-09-06 19:12:38.846,1788721958.846,ORDER_FILLED,360287970300000395,360287970300000396,A,SELL,0.10,4380.13,4380.13,0.00,+0.0,4380.25,4380.25,4378.13,9.0,0.0,0.00,0,0.00,0.00,0.00,5073.46,373.46,INITIAL_FILL
2026-09-06 19:12:38.848,1788721958.848,POSITION_CLOSED_WIN_TP,360287970300000399,360287970300000396,A,SELL,0.10,4380.13,4380.13,4378.13,+0.0,4379.13,4379.13,4378.13,0.0,0.0,0.00,0,20.00,0.70,19.30,5092.76,392.76,WIN_TP
2026-09-06 19:12:38.971,1788721958.972,ORDER_FILLED,360287970300000407,360287970300000412,A,SELL,0.10,4380.37,4380.37,0.00,+0.0,4380.49,4380.49,4378.37,9.0,0.0,0.00,0,0.00,0.00,0.00,5092.76,392.76,INITIAL_FILL
2026-09-06 19:12:38.978,1788721958.979,POSITION_CLOSED_WIN_TP,360287970300000415,360287970300000412,A,SELL,0.10,4380.37,4380.37,4378.37,+0.0,4379.37,4379.37,4378.37,0.0,0.0,0.00,0,20.00,0.70,19.30,5112.06,412.06,WIN_TP
2026-09-06 19:12:39.575,1788721959.575,ORDER_FILLED,360287970300000424,360287970300000430,A,BUY,0.10,4379.71,4379.71,0.00,+0.0,4379.50,4379.50,4381.62,9.0,0.0,0.00,0,0.00,0.00,0.00,5112.06,412.06,INITIAL_FILL
2026-09-06 19:12:39.587,1788721959.587,POSITION_CLOSED_WIN_TP,360287970300000436,360287970300000430,A,BUY,0.10,4379.71,4379.71,4381.62,+0.0,4380.71,4380.71,4381.62,0.0,0.0,0.00,0,19.10,0.70,18.40,5130.46,430.46,WIN_TP
2026-09-06 19:12:40.270,1788721960.270,ORDER_FILLED,360287970300000443,360287970300000449,A,SELL,0.10,4374.32,4374.32,0.00,+0.0,4374.44,4374.44,4372.32,9.0,0.0,0.00,0,0.00,0.00,0.00,5130.46,430.46,INITIAL_FILL
2026-09-06 19:12:40.275,1788721960.275,POSITION_CLOSED_RATCHET_WIN,360287970300000457,360287970300000449,A,SELL,0.10,4374.32,4374.32,4373.32,+0.0,4373.32,4373.32,4372.32,0.0,0.0,0.00,0,10.00,0.70,9.30,5139.76,439.76,RATCHET_WIN
2026-09-06 19:12:40.400,1788721960.400,ORDER_FILLED,360287970300000466,360287970300000467,A,SELL,0.10,4370.83,4370.83,0.00,+0.0,4370.95,4370.95,4368.83,9.0,0.0,0.00,0,0.00,0.00,0.00,5139.76,439.76,INITIAL_FILL
2026-09-06 19:12:40.403,1788721960.403,POSITION_CLOSED_STOP_LOSS,360287970300000475,360287970300000467,A,SELL,0.10,4370.83,4370.83,4370.95,+0.0,4370.95,4370.95,4368.83,0.0,0.0,0.00,0,-1.20,0.70,-1.90,5137.86,437.86,STOP_LOSS
2026-09-06 19:12:40.425,1788721960.425,ORDER_FILLED,360287970300000482,360287970300000489,A,SELL,0.10,4370.57,4370.57,0.00,+0.0,4370.69,4370.69,4368.57,9.0,0.0,0.00,0,0.00,0.00,0.00,5137.86,437.86,INITIAL_FILL
2026-09-06 19:12:40.433,1788721960.433,POSITION_CLOSED_WIN_TP,360287970300000493,360287970300000489,A,SELL,0.10,4370.57,4370.57,4368.57,+0.0,4369.57,4369.57,4368.57,0.0,0.0,0.00,0,20.00,0.70,19.30,5157.16,457.16,WIN_TP
2026-09-06 19:12:40.549,1788721960.549,ORDER_FILLED,360287970300000494,360287970300000499,A,SELL,0.10,4372.99,4372.99,0.00,+0.0,4373.11,4373.11,4370.99,9.0,0.0,0.00,0,0.00,0.00,0.00,5157.16,457.16,INITIAL_FILL
2026-09-06 19:12:40.552,1788721960.552,POSITION_CLOSED_WIN_TP,360287970300000506,360287970300000499,A,SELL,0.10,4372.99,4372.99,4370.99,+0.0,4371.99,4371.99,4370.99,0.0,0.0,0.00,0,20.00,0.70,19.30,5176.46,476.46,WIN_TP
2026-09-06 19:12:40.792,1788721960.793,ORDER_FILLED,360287970300000511,360287970300000512,A,SELL,0.10,4372.75,4372.75,0.00,+0.0,4372.87,4372.87,4370.75,9.0,0.0,0.00,0,0.00,0.00,0.00,5176.46,476.46,INITIAL_FILL
2026-09-06 19:12:40.798,1788721960.799,POSITION_CLOSED_WIN_TP,360287970300000521,360287970300000512,A,SELL,0.10,4372.75,4372.75,4370.75,+0.0,4371.75,4371.75,4370.75,0.0,0.0,0.00,0,20.00,0.70,19.30,5195.76,495.76,WIN_TP
2026-09-06 19:12:40.841,1788721960.842,ORDER_FILLED,360287970300000529,360287970300000534,A,SELL,0.10,4367.54,4367.54,0.00,+0.0,4367.66,4367.66,4365.54,9.0,0.0,0.00,0,0.00,0.00,0.00,5195.76,495.76,INITIAL_FILL
2026-09-06 19:12:40.844,1788721960.845,POSITION_CLOSED_STOP_LOSS,360287970300000540,360287970300000534,A,SELL,0.10,4367.54,4367.54,4367.66,+0.0,4367.66,4367.66,4365.54,0.0,0.0,0.00,0,-1.20,0.70,-1.90,5193.86,493.86,STOP_LOSS
2026-09-06 19:12:40.896,1788721960.897,ORDER_FILLED,360287970300000547,360287970300000553,A,SELL,0.10,4356.94,4356.94,0.00,+0.0,4357.06,4357.06,4354.94,9.0,0.0,0.00,0,0.00,0.00,0.00,5193.86,493.86,INITIAL_FILL
2026-09-06 19:12:40.903,1788721960.904,POSITION_CLOSED_WIN_TP,360287970300000555,360287970300000553,A,SELL,0.10,4356.94,4356.94,4354.94,+0.0,4355.94,4355.94,4354.94,0.0,0.0,0.00,0,20.00,0.70,19.30,5213.16,513.16,WIN_TP
2026-09-06 19:12:41.115,1788721961.116,ORDER_FILLED,360287970300000558,360287970300000565,A,SELL,0.10,4367.24,4367.24,0.00,+0.0,4367.36,4367.36,4365.24,9.0,0.0,0.00,0,0.00,0.00,0.00,5213.16,513.16,INITIAL_FILL
2026-09-06 19:12:41.129,1788721961.130,POSITION_CLOSED_WIN_TP,360287970300000566,360287970300000565,A,SELL,0.10,4367.24,4367.24,4365.24,+0.0,4366.24,4366.24,4365.24,0.0,0.0,0.00,0,20.00,0.70,19.30,5232.46,532.46,WIN_TP
2026-09-06 19:12:41.148,1788721961.148,ORDER_FILLED,360287970300000573,360287970300000582,A,SELL,0.10,4364.42,4364.42,0.00,+0.0,4364.54,4364.54,4362.42,9.0,0.0,0.00,0,0.00,0.00,0.00,5232.46,532.46,INITIAL_FILL
2026-09-06 19:12:41.157,1788721961.157,POSITION_CLOSED_BE_PROTECTED,360287970300000583,360287970300000582,A,SELL,0.10,4364.42,4364.42,4364.37,+0.0,4364.37,4364.37,4362.42,0.0,0.0,0.00,0,0.50,0.70,-0.20,5232.26,532.26,BE_PROTECTED
2026-09-06 19:12:41.299,1788721961.299,ORDER_FILLED,360287970300000590,360287970300000597,A,SELL,0.10,4360.03,4360.03,0.00,+0.0,4360.15,4360.15,4358.03,9.0,0.0,0.00,0,0.00,0.00,0.00,5232.26,532.26,INITIAL_FILL
2026-09-06 19:12:41.302,1788721961.302,POSITION_CLOSED_WIN_TP,360287970300000602,360287970300000597,A,SELL,0.10,4360.03,4360.03,4358.03,+0.0,4359.03,4359.03,4358.03,0.0,0.0,0.00,0,20.00,0.70,19.30,5251.56,551.56,WIN_TP
2026-09-06 19:12:41.324,1788721961.325,ORDER_FILLED,360287970300000605,360287970300000612,A,SELL,0.10,4356.15,4356.15,0.00,+0.0,4356.27,4356.27,4354.15,9.0,0.0,0.00,0,0.00,0.00,0.00,5251.56,551.56,INITIAL_FILL
2026-09-06 19:12:41.327,1788721961.328,POSITION_CLOSED_WIN_TP,360287970300000617,360287970300000612,A,SELL,0.10,4356.15,4356.15,4354.15,+0.0,4355.15,4355.15,4354.15,0.0,0.0,0.00,0,20.00,0.70,19.30,5270.86,570.86,WIN_TP
2026-09-06 19:12:41.373,1788721961.373,ORDER_FILLED,360287970300000619,360287970300000622,A,SELL,0.10,4336.83,4336.83,0.00,+0.0,4336.95,4336.95,4334.83,9.0,0.0,0.00,0,0.00,0.00,0.00,5270.86,570.86,INITIAL_FILL
2026-09-06 19:12:41.376,1788721961.376,POSITION_CLOSED_STOP_LOSS,360287970300000626,360287970300000622,A,SELL,0.10,4336.83,4336.83,4336.95,+0.0,4336.95,4336.95,4334.83,0.0,0.0,0.00,0,-1.20,0.70,-1.90,5268.96,568.96,STOP_LOSS
2026-09-06 19:12:41.411,1788721961.411,ORDER_FILLED,360287970300000629,360287970300000631,A,SELL,0.10,4331.23,4331.23,0.00,+0.0,4331.35,4331.35,4329.23,9.0,0.0,0.00,0,0.00,0.00,0.00,5268.96,568.96,INITIAL_FILL
2026-09-06 19:12:41.413,1788721961.413,POSITION_CLOSED_STOP_LOSS,360287970300000634,360287970300000631,A,SELL,0.10,4331.23,4331.23,4331.35,+0.0,4331.35,4331.35,4329.23,0.0,0.0,0.00,0,-1.20,0.70,-1.90,5267.06,567.06,STOP_LOSS
2026-09-06 19:12:41.771,1788721961.771,ORDER_FILLED,360287970300000635,360287970300000641,A,SELL,0.10,4339.23,4339.23,0.00,+0.0,4339.35,4339.35,4337.23,9.0,0.0,0.00,0,0.00,0.00,0.00,5267.06,567.06,INITIAL_FILL
2026-09-06 19:12:41.785,1788721961.786,POSITION_CLOSED_RATCHET_WIN,360287970300000648,360287970300000641,A,SELL,0.10,4339.23,4339.23,4338.73,+0.0,4338.73,4338.73,4337.23,0.0,0.0,0.00,0,5.00,0.70,4.30,5271.36,571.36,RATCHET_WIN
