timestamp,order_id,position_id,track_id,side,qty,entry_price,exit_price,tp_price,sl_price,duration_sec,gross_pnl,commission,net_pnl,close_reason,balance
2026-09-08 08:40:56.790,360287970300000039,360287970300000020,C,BUY,0.03,4394.78,4394.66,4398.11,4394.66,19.1,-0.36,0.21,-0.57,STOP_LOSS,4775.09
2026-09-08 08:40:58.132,360287970300000046,360287970300000008,B,SELL,0.03,4394.64,4394.76,4391.31,4394.76,24.8,-0.36,0.21,-0.57,STOP_LOSS,4774.52
2026-09-08 08:40:58.135,360287970300000052,360287970300000031,C,SELL,0.03,4394.80,4394.92,4391.47,4394.92,20.4,-0.36,0.21,-0.57,STOP_LOSS,4773.95
2026-09-08 08:42:12.112,360287970300000075,360287970300000067,A,SELL,0.1,4394.14,4394.26,4392.14,4394.26,18.6,-1.20,0.70,-1.90,STOP_LOSS,4772.05
2026-09-08 10:19:29.887,360287970300000007,360287970300000003,A,BUY,0.1,4398.59,4398.47,4400.59,4398.47,5.3,-1.20,0.70,-1.90,STOP_LOSS,4773.76
2026-09-08 10:20:25.406,360287970300000025,360287970300000021,A,BUY,0.1,4405.29,4405.17,4407.29,4405.17,4.9,-1.20,0.70,-1.90,STOP_LOSS,4771.86
2026-09-08 10:25:28.831,360287970300000043,360287970300000036,A,BUY,0.1,4401.13,4401.01,4403.13,4401.01,4.9,-1.20,0.70,-1.90,STOP_LOSS,4769.96
2026-09-08 10:31:34.217,360287970300000060,360287970300000053,A,BUY,0.1,4399.16,4399.04,4401.16,4399.04,5.5,-1.20,0.70,-1.90,STOP_LOSS,4768.06
2026-09-08 10:38:04.146,360287970300000075,360287970300000070,A,SELL,0.1,4395.73,4395.85,4393.73,4395.85,5.0,-1.20,0.70,-1.90,STOP_LOSS,4766.16
2026-09-08 10:40:53.257,360287970300000096,360287970300000093,A,SELL,0.1,4394.74,4394.63,4392.74,4394.63,31.2,1.10,0.70,0.40,BE_PROTECTED,4766.56
2026-09-08 10:47:36.184,360287970300000110,360287970300000105,A,SELL,0.1,4398.06,4398.18,4396.06,4398.18,5.0,-1.20,0.70,-1.90,STOP_LOSS,4764.66
2026-09-08 10:50:36.588,360287970300000125,360287970300000122,A,BUY,0.1,4399.56,4399.44,4401.56,4399.44,16.4,-1.20,0.70,-1.90,STOP_LOSS,4762.76
2026-09-08 10:56:25.220,360287970300000142,360287970300000140,A,BUY,0.1,4398.85,4398.73,4400.85,4398.73,4.9,-1.20,0.70,-1.90,STOP_LOSS,4760.86
2026-09-08 11:00:52.973,360287970300000152,360287970300000150,A,SELL,0.1,4395.21,4395.33,4393.21,4395.33,5.4,-1.20,0.70,-1.90,STOP_LOSS,4758.96
2026-09-08 11:06:26.296,360287970300000168,360287970300000167,A,SELL,0.1,4395.42,4395.54,4393.42,4395.54,6.2,-1.20,0.70,-1.90,STOP_LOSS,4757.06
