timestamp_utc,epoch_ts,event_type,order_id,position_id,track_id,side,qty_lots,trigger_price,fill_price,exit_price,slippage_cents,initial_sl,active_sl,tp_price,market_spread_cents,tick_vel_at_event,trade_duration_sec,ticks_during_trade,gross_pnl,broker_fee,net_pnl,balance,loss_floor_buffer,reason
2026-09-08 08:40:33.302,1788856833.302,ORDER_FILLED,360287970300000006,360287970300000008,B,SELL,0.03,4394.52,4394.52,0.00,+0.0,4394.64,4394.64,4391.19,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-08 08:40:37.725,1788856837.725,ORDER_FILLED,360287970300000014,360287970300000020,C,BUY,0.03,4394.60,4394.60,0.00,+0.0,4394.48,4394.48,4397.93,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-08 08:40:37.726,1788856837.726,ORDER_FILLED,360287970300000026,360287970300000031,C,SELL,0.03,4394.52,4394.52,0.00,+0.0,4394.64,4394.64,4391.19,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-08 08:40:56.792,1788856856.792,POSITION_CLOSED_STOP_LOSS,360287970300000039,360287970300000020,C,BUY,0.03,4394.78,4394.78,4394.66,+0.0,4394.66,4394.66,4398.11,0.0,0.0,19.10,0,-0.36,0.21,-0.57,4775.09,75.09,STOP_LOSS
2026-09-08 08:40:58.134,1788856858.135,POSITION_CLOSED_STOP_LOSS,360287970300000046,360287970300000008,B,SELL,0.03,4394.64,4394.64,4394.76,+0.0,4394.76,4394.76,4391.31,0.0,0.0,24.80,0,-0.36,0.21,-0.57,4774.52,74.52,STOP_LOSS
2026-09-08 08:40:58.137,1788856858.138,POSITION_CLOSED_STOP_LOSS,360287970300000052,360287970300000031,C,SELL,0.03,4394.80,4394.80,4394.92,+0.0,4394.92,4394.92,4391.47,0.0,0.0,20.40,0,-0.36,0.21,-0.57,4773.95,73.95,STOP_LOSS
2026-09-08 08:41:53.522,1788856913.523,ORDER_FILLED,360287970300000058,360287970300000067,A,SELL,0.10,4394.09,4394.09,0.00,+0.0,4394.21,4394.21,4392.09,8.0,0.0,0.00,0,0.00,0.00,0.00,4773.95,73.95,INITIAL_FILL
2026-09-08 08:42:12.115,1788856932.115,POSITION_CLOSED_STOP_LOSS,360287970300000075,360287970300000067,A,SELL,0.10,4394.14,4394.14,4394.26,+0.0,4394.26,4394.26,4392.14,0.0,0.0,18.60,0,-1.20,0.70,-1.90,4772.05,72.05,STOP_LOSS
2026-09-08 10:19:24.626,1788862764.627,ORDER_FILLED,360287970300000001,360287970300000003,A,BUY,0.10,4398.69,4398.69,0.00,+0.0,4398.57,4398.57,4400.69,8.0,0.0,0.00,0,0.00,0.00,0.00,4775.66,75.66,INITIAL_FILL
2026-09-08 10:19:29.890,1788862769.890,POSITION_CLOSED_STOP_LOSS,360287970300000007,360287970300000003,A,BUY,0.10,4398.59,4398.59,4398.47,+0.0,4398.47,4398.47,4400.59,0.0,0.0,5.30,0,-1.20,0.70,-1.90,4773.76,73.76,STOP_LOSS
